instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,RSI
AONEAMC - AONELIQUID,NSE_EQ|INF1J2R01056,Monthly,2025-09-01,1054.08,1054.08,1023.52,1026.5,491880.0,0.0,
GTPL HATHWAY LIMITED,NSE_EQ|INE869I01013,Monthly,2025-09-01,116.1,118.95,112.5,114.39,238332.0,0.0,20.75555064619465
RAYMOND LTD,NSE_EQ|INE301A01014,Monthly,2025-09-01,605.6,642.2,600.4,618.6,3617701.0,0.0,18.27724678862458
R M DRIP & SPRINK SYS LTD,NSE_EQ|INE219Y01018,Monthly,2025-09-01,731.65,807.45,709.25,788.1,703527.0,0.0,97.03022937870271
ESSAR SHIPPING LTD,NSE_EQ|INE122M01019,Monthly,2025-09-01,23.35,27.54,23.35,27.49,2882322.0,0.0,27.94281175536139
ALMONDZ GLOBAL SEC LTD,NSE_EQ|INE326B01035,Monthly,2025-09-01,19.57,22.1,19.08,19.96,3876366.0,0.0,30.11770726714431
ENERGY DEVE. CO.LTD,NSE_EQ|INE306C01019,Monthly,2025-09-01,18.73,21.0,18.73,19.87,327879.0,0.0,35.40925266903916
TEGA INDUSTRIES LIMITED,NSE_EQ|INE011K01018,Monthly,2025-09-01,1874.6,2125.0,1851.0,1972.6,14491207.0,0.0,51.4250841941098
SAHYADRI INDUSTRIES LTD,NSE_EQ|INE280H01015,Monthly,2025-09-01,241.6,289.0,239.0,271.98,83522.0,0.0,33.55996806510598
FINE ORGANIC IND. LTD.,NSE_EQ|INE686Y01026,Monthly,2025-09-01,4661.6,4960.0,4661.6,4787.1,220984.0,0.0,42.8068758652515
INDOWIND ENERGY LTD,NSE_EQ|INE227G01018,Monthly,2025-09-01,16.63,17.9,15.6,17.07,2636037.0,0.0,28.650239058477382
RAMA STEEL TUBES LIMITED,NSE_EQ|INE230R01035,Monthly,2025-09-01,10.0,11.58,9.91,10.25,448323757.0,0.0,49.82864976010966
DSPAMC - DSPNEWETF,NSE_EQ|INF740KA1QK2,Monthly,2025-09-01,322.63,337.49,320.74,335.44,85846.0,0.0,52.941579343880555
PI INDUSTRIES LTD,NSE_EQ|INE603J01030,Monthly,2025-09-01,3713.2,3810.0,3649.0,3668.9,2912465.0,0.0,39.664925727463874
KEC INTL. LIMITED,NSE_EQ|INE389H01022,Monthly,2025-09-01,810.0,894.0,805.0,866.15,8843009.0,0.0,47.97620675509367
AGI INFRA LIMITED,NSE_EQ|INE976R01025,Monthly,2025-09-01,1140.0,1210.0,1140.0,1204.1,1306799.0,0.0,90.33718389010302
ANUPAM RASAYAN INDIA LTD,NSE_EQ|INE930P01018,Monthly,2025-09-01,1120.1,1133.1,1067.6,1081.3,4964942.0,0.0,70.61351819757365
MIRAEAMC - EVINDIA,NSE_EQ|INF769K01LQ3,Monthly,2025-09-01,30.0,32.3,29.93,31.74,5452622.0,0.0,44.07636159460976
KOTAK GOLD ETF,NSE_EQ|INF174KA1HJ8,Monthly,2025-09-01,87.23,94.5,86.9,93.81,37027534.0,0.0,93.27209533267131
D.B.CORP LTD,NSE_EQ|INE950I01011,Monthly,2025-09-01,267.7,287.9,265.0,274.3,1289409.0,0.0,35.250325702587006
GRINDWELL NORTON LIMITED,NSE_EQ|INE536A01023,Monthly,2025-09-01,1558.6,1706.0,1515.0,1639.7,1242015.0,0.0,25.04667981591058
AUTOMOTIVE STAMPINGS & AS,NSE_EQ|INE900C01027,Monthly,2025-09-01,478.55,515.7,478.25,492.3,252602.0,0.0,15.427521937283174
LOKESH MACHINES LTD,NSE_EQ|INE397H01017,Monthly,2025-09-01,207.99,213.02,176.6,196.46,1148644.0,0.0,17.907230635724872
AGRI-TECH (INDIA) LIMITED,NSE_EQ|INE449G01018,Monthly,2025-09-01,137.2,143.7,134.05,137.71,79591.0,0.0,20.997648088388118
STEEL EXCHANGE INDIA LTD,NSE_EQ|INE503B01021,Monthly,2025-09-01,8.89,11.15,8.76,10.33,51799621.0,0.0,34.09425625920471
THEMIS MEDICARE LTD.,NSE_EQ|INE083B01024,Monthly,2025-09-01,98.08,138.0,98.08,129.34,5976211.0,0.0,29.71101345052604
BHEL,NSE_EQ|INE257A01026,Monthly,2025-09-01,209.5,242.43,209.05,239.6,128875344.0,0.0,38.78494974352893
