instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,EMA_short,EMA_long,EMA_cross,Cross_Type,Trade_Type,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Days_Since_Entry
ASHOKA BUILDCON LTD,NSE_EQ|INE442H01029,Weekly,2025-03-10,189.7,190.9,171.63,172.12,9054598.0,0.0,217.25825649537546,220.86550866699318,11 x 51,Death,Short,2025-03-10,172.12,,,197
AMINES & PLASTICIZERS LTD,NSE_EQ|INE275D01022,Weekly,2025-03-03,204.65,227.52,192.0,218.03,71512.0,0.0,256.1181087973033,259.08318605411756,11 x 51,Death,Short,2025-03-03,218.03,,,204
ORACLE FIN SERV SOFT LTD.,NSE_EQ|INE881D01027,Weekly,2025-03-03,7801.75,8080.0,7527.0,7569.1,947556.0,0.0,9319.619657031208,9528.739273292196,11 x 51,Death,Short,2025-03-03,7569.1,,,204
JAIN IRRIGATION SYSTEMS,NSE_EQ|INE175A01038,Weekly,2025-03-03,55.4,63.83,53.02,61.84,17487158.0,0.0,65.26250404181944,65.78022803844662,11 x 51,Death,Short,2025-03-03,61.84,,,204
DHRUV CONSULTANCY SER LTD,NSE_EQ|INE506Z01015,Weekly,2025-02-24,90.99,92.3,83.93,86.91,63961.0,0.0,111.68360192223453,112.79662038240382,11 x 51,Death,Short,2025-02-24,86.91,,,211
STERLING TOOLS LIMITED,NSE_EQ|INE334A01023,Weekly,2025-02-24,380.05,390.0,331.15,333.4,408128.0,0.0,458.5746927930261,469.07963465621157,11 x 51,Death,Short,2025-02-24,333.4,,,211
MAN INFRA LTD,NSE_EQ|INE949H01023,Weekly,2025-02-24,163.55,165.85,145.99,147.95,2648325.0,0.0,192.2251869005038,196.29960086003055,11 x 51,Death,Short,2025-02-24,147.95,,,211
CREST VENTURES LIMITED,NSE_EQ|INE559D01011,Weekly,2025-02-24,367.65,368.2,319.1,343.3,116608.0,0.0,408.6154463826997,417.66525342239805,11 x 51,Death,Short,2025-02-24,343.3,,,211
SWAN CORP LIMITED,NSE_EQ|INE665A01038,Weekly,2025-02-17,445.0,480.65,398.85,430.25,31786060.0,0.0,567.3655123940088,586.5079674039184,11 x 51,Death,Short,2025-02-17,430.25,,,218
UPDATER SERVICES LIMITED,NSE_EQ|INE851I01011,Weekly,2025-02-17,307.25,326.55,299.35,319.05,640926.0,0.0,347.7313528927017,347.8568865146781,11 x 51,Death,Short,2025-02-17,319.05,,,218
